***
*** Starting ...
***
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x4 threads, 1024B shared memory, 50 iterations
Copy register->shared, size=      1024, gDim=    1, bDim=    4, bw=  0.18GB/s
***
*** Starting ...
***
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x8 threads, 1024B shared memory, 50 iterations
Copy register->shared, size=      1024, gDim=    1, bDim=    8, bw=  0.19GB/s
***
*** Starting ...
***
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x16 threads, 1024B shared memory, 50 iterations
