1,1,2.67,0
1,1,6.35,1
1,114,2.61,0
1,114,6.28,1
1,228,2.59,0
1,228,6.31,1
1,342,2.58,0
1,342,6.31,1
1,455,2.60,0
1,455,6.36,1
1,569,2.60,0
1,569,6.30,1
1,683,2.61,0
1,683,6.30,1
1,796,2.64,0
1,796,6.36,1
1,910,2.60,0
1,910,6.31,1
1,1024,2.61,0
1,1024,6.36,1
1821,1,2.62,0
1821,1,7.58,1
1821,114,2.62,0
1821,114,7.57,1
1821,228,2.65,0
1821,228,7.65,1
1821,342,3.15,0
1821,342,7.89,1
1821,455,3.18,0
1821,455,7.93,1
1821,569,5.16,0
1821,569,10.00,1
1821,683,5.28,0
1821,683,10.00,1
1821,796,5.37,0
1821,796,10.14,1
1821,910,5.45,0
1821,910,10.35,1
1821,1024,5.59,0
1821,1024,10.40,1
3641,1,3.15,0
3641,1,7.95,1
3641,114,3.13,0
3641,114,7.97,1
3641,228,3.38,0
3641,228,8.20,1
3641,342,5.10,0
3641,342,9.91,1
3641,455,5.21,0
3641,455,10.07,1
3641,569,9.25,0
3641,569,14.07,1
3641,683,9.50,0
3641,683,14.31,1
3641,796,9.67,0
3641,796,14.50,1
3641,910,9.92,0
3641,910,14.74,1
3641,1024,10.09,0
3641,1024,14.93,1
5462,1,4.18,0
5462,1,8.95,1
5462,114,4.09,0
5462,114,8.94,1
5462,228,4.43,0
5462,228,9.31,1
5462,342,7.06,0
5462,342,11.88,1
5462,455,7.25,0
5462,455,12.06,1
5462,569,13.34,0
5462,569,18.15,1
5462,683,13.69,0
5462,683,18.53,1
5462,796,13.97,0
5462,796,18.84,1
5462,910,14.32,0
5462,910,19.09,1
5462,1024,14.58,0
5462,1024,19.43,1
7282,1,5.21,0
7282,1,10.02,1
7282,114,5.11,0
7282,114,9.94,1
7282,228,5.52,0
7282,228,10.30,1
7282,342,9.02,0
7282,342,13.77,1
7282,455,9.26,0
7282,455,14.11,1
7282,569,17.39,0
7282,569,22.23,1
7282,683,17.88,0
7282,683,22.63,1
7282,796,18.23,0
7282,796,23.09,1
7282,910,18.70,0
7282,910,23.49,1
7282,1024,19.06,0
7282,1024,23.88,1
9102,1,6.22,0
9102,1,11.04,1
9102,114,6.11,0
9102,114,10.98,1
9102,228,6.58,0
9102,228,11.42,1
9102,342,11.00,0
9102,342,15.86,1
9102,455,11.32,0
9102,455,16.09,1
9102,569,21.47,0
9102,569,26.32,1
9102,683,22.09,0
9102,683,26.90,1
9102,796,22.51,0
9102,796,27.41,1
9102,910,23.12,0
9102,910,27.92,1
9102,1024,23.54,0
9102,1024,28.38,1
10923,1,7.24,0
10923,1,12.07,1
10923,114,7.14,0
10923,114,11.96,1
10923,228,7.64,0
10923,228,12.47,1
10923,342,12.98,0
10923,342,17.83,1
10923,455,13.35,0
10923,455,18.19,1
10923,569,25.56,0
10923,569,30.37,1
10923,683,26.25,0
10923,683,31.17,1
10923,796,26.76,0
10923,796,31.59,1
10923,910,27.51,0
10923,910,32.32,1
10923,1024,28.03,0
10923,1024,32.85,1
12743,1,8.29,0
12743,1,13.01,1
12743,114,8.08,0
12743,114,12.92,1
12743,228,8.63,0
12743,228,13.47,1
12743,342,14.80,0
12743,342,19.61,1
12743,455,15.32,0
12743,455,20.21,1
12743,569,29.54,0
12743,569,34.38,1
12743,683,30.35,0
12743,683,35.19,1
12743,796,30.95,0
12743,796,35.81,1
12743,910,31.80,0
12743,910,36.57,1
12743,1024,32.40,0
12743,1024,37.21,1
14563,1,9.26,0
14563,1,14.09,1
14563,114,9.16,0
14563,114,13.97,1
14563,228,9.76,0
14563,228,14.55,1
14563,342,16.85,0
14563,342,21.68,1
14563,455,17.34,0
14563,455,22.19,1
14563,569,33.59,0
14563,569,38.48,1
14563,683,34.54,0
14563,683,39.39,1
14563,796,35.21,0
14563,796,40.03,1
14563,910,36.17,0
14563,910,41.02,1
14563,1024,36.89,0
14563,1024,41.71,1
16384,1,10.29,0
16384,1,15.16,1
16384,114,10.21,0
16384,114,15.00,1
16384,228,10.82,0
16384,228,15.69,1
16384,342,18.83,0
16384,342,23.66,1
16384,455,19.37,0
16384,455,24.25,1
16384,569,37.63,0
16384,569,42.52,1
16384,683,38.70,0
16384,683,43.58,1
16384,796,39.48,0
16384,796,44.34,1
16384,910,40.55,0
16384,910,45.47,1
16384,1024,41.33,0
16384,1024,46.15,1
