1,1,2.79,0
1,1,6.38,1
1,114,2.73,0
1,114,6.45,1
1,228,2.73,0
1,228,6.40,1
12743,796,30.63,0
12743,796,35.52,1
1,342,2.76,0
1,342,6.44,1
1,455,2.74,0
1,455,6.48,1
1,569,2.74,0
1,569,6.40,1
1,683,2.73,0
1,683,6.47,1
1,796,2.76,0
1,796,6.54,1
1,910,2.74,0
1,910,6.43,1
1,1024,2.75,0
1,1024,6.44,1
12743,910,31.45,0
12743,910,36.38,1
1821,1,2.74,0
1821,1,7.64,1
1821,114,2.76,0
1821,114,7.66,1
1821,228,2.78,0
1821,228,7.94,1
1821,342,3.13,0
1821,342,8.04,1
1821,455,3.14,0
1821,455,8.04,1
1821,569,5.12,0
1821,569,9.94,1
12743,1024,32.06,0
12743,1024,37.03,1
1821,683,5.20,0
1821,683,10.17,1
14563,1,9.20,0
14563,1,14.09,1
1821,796,5.30,0
1821,796,10.20,1
1821,910,5.40,0
1821,910,10.26,1
14563,114,9.10,0
14563,114,14.02,1
1821,1024,5.50,0
1821,1024,10.48,1
3641,1,3.09,0
3641,1,8.12,1
14563,228,9.66,0
14563,228,14.59,1
3641,114,3.09,0
3641,114,8.05,1
3641,228,4.43,0
3641,228,8.14,1
14563,342,16.66,0
14563,342,21.57,1
3641,342,4.97,0
3641,342,9.91,1
3641,455,5.12,0
3641,455,9.99,1
14563,455,17.16,0
14563,455,22.06,1
3641,569,9.09,0
3641,569,14.04,1
3641,683,9.30,0
3641,683,14.27,1
3641,796,9.49,0
3641,796,14.47,1
14563,569,33.23,0
14563,569,38.13,1
3641,910,9.71,0
3641,910,14.67,1
3641,1024,9.89,0
3641,1024,14.85,1
14563,683,34.16,0
14563,683,39.04,1
14563,796,34.83,0
14563,796,39.71,1
14563,910,35.77,0
14563,910,40.71,1
14563,1024,36.48,0
14563,1024,41.40,1
16384,1,10.20,0
16384,1,15.08,1
16384,114,10.12,0
16384,114,14.95,1
16384,228,10.71,0
16384,228,15.61,1
16384,342,18.60,0
16384,342,23.53,1
16384,455,19.15,0
16384,569,37.25,0
16384,683,38.27,0
16384,796,39.07,0
16384,910,40.12,0
16384,1024,40.90,0
